2023-10-24 12:15:59,669 INFO  main                             com.alipay.sofa.rpc.client.aft.FaultToleranceConfigManager - Get a new resource, value[FaultToleranceConfig{timeWindow=10, leastCallCount=100, leastWindowCount=10, leastWindowExceptionRateMultiple=6.0, regulationEffective=false, weightDegradeRate=0.05, degradeEffective=false, degradeLeastWeight=1, weightRecoverRate=2.0, degradeMaxIpCount=2}]
2023-10-24 12:30:54,259 INFO  main                             com.alipay.sofa.rpc.client.aft.FaultToleranceConfigManager - Get a new resource, value[FaultToleranceConfig{timeWindow=10, leastCallCount=100, leastWindowCount=10, leastWindowExceptionRateMultiple=6.0, regulationEffective=false, weightDegradeRate=0.05, degradeEffective=false, degradeLeastWeight=1, weightRecoverRate=2.0, degradeMaxIpCount=2}]
2023-10-24 12:33:01,821 INFO  main                             com.alipay.sofa.rpc.client.aft.FaultToleranceConfigManager - Get a new resource, value[FaultToleranceConfig{timeWindow=10, leastCallCount=100, leastWindowCount=10, leastWindowExceptionRateMultiple=6.0, regulationEffective=false, weightDegradeRate=0.05, degradeEffective=false, degradeLeastWeight=1, weightRecoverRate=2.0, degradeMaxIpCount=2}]
2023-10-24 12:35:51,916 INFO  main                             com.alipay.sofa.rpc.client.aft.FaultToleranceConfigManager - Get a new resource, value[FaultToleranceConfig{timeWindow=10, leastCallCount=100, leastWindowCount=10, leastWindowExceptionRateMultiple=6.0, regulationEffective=false, weightDegradeRate=0.05, degradeEffective=false, degradeLeastWeight=1, weightRecoverRate=2.0, degradeMaxIpCount=2}]
2023-10-24 12:39:41,018 INFO  main                             com.alipay.sofa.rpc.client.aft.FaultToleranceConfigManager - Get a new resource, value[FaultToleranceConfig{timeWindow=10, leastCallCount=100, leastWindowCount=10, leastWindowExceptionRateMultiple=6.0, regulationEffective=false, weightDegradeRate=0.05, degradeEffective=false, degradeLeastWeight=1, weightRecoverRate=2.0, degradeMaxIpCount=2}]
2023-10-24 12:48:40,504 INFO  main                             com.alipay.sofa.rpc.client.aft.FaultToleranceConfigManager - Get a new resource, value[FaultToleranceConfig{timeWindow=10, leastCallCount=100, leastWindowCount=10, leastWindowExceptionRateMultiple=6.0, regulationEffective=false, weightDegradeRate=0.05, degradeEffective=false, degradeLeastWeight=1, weightRecoverRate=2.0, degradeMaxIpCount=2}]
2023-10-24 12:54:22,896 INFO  main                             com.alipay.sofa.rpc.client.aft.FaultToleranceConfigManager - Get a new resource, value[FaultToleranceConfig{timeWindow=10, leastCallCount=100, leastWindowCount=10, leastWindowExceptionRateMultiple=6.0, regulationEffective=false, weightDegradeRate=0.05, degradeEffective=false, degradeLeastWeight=1, weightRecoverRate=2.0, degradeMaxIpCount=2}]
2023-10-24 13:10:55,413 INFO  main                             com.alipay.sofa.rpc.client.aft.FaultToleranceConfigManager - Get a new resource, value[FaultToleranceConfig{timeWindow=10, leastCallCount=100, leastWindowCount=10, leastWindowExceptionRateMultiple=6.0, regulationEffective=false, weightDegradeRate=0.05, degradeEffective=false, degradeLeastWeight=1, weightRecoverRate=2.0, degradeMaxIpCount=2}]
2023-10-24 13:22:38,265 INFO  main                             com.alipay.sofa.rpc.client.aft.FaultToleranceConfigManager - Get a new resource, value[FaultToleranceConfig{timeWindow=10, leastCallCount=100, leastWindowCount=10, leastWindowExceptionRateMultiple=6.0, regulationEffective=false, weightDegradeRate=0.05, degradeEffective=false, degradeLeastWeight=1, weightRecoverRate=2.0, degradeMaxIpCount=2}]
2023-10-24 13:37:03,638 INFO  main                             com.alipay.sofa.rpc.client.aft.FaultToleranceConfigManager - Get a new resource, value[FaultToleranceConfig{timeWindow=10, leastCallCount=100, leastWindowCount=10, leastWindowExceptionRateMultiple=6.0, regulationEffective=false, weightDegradeRate=0.05, degradeEffective=false, degradeLeastWeight=1, weightRecoverRate=2.0, degradeMaxIpCount=2}]
2023-10-24 13:38:47,965 INFO  main                             com.alipay.sofa.rpc.client.aft.FaultToleranceConfigManager - Get a new resource, value[FaultToleranceConfig{timeWindow=10, leastCallCount=100, leastWindowCount=10, leastWindowExceptionRateMultiple=6.0, regulationEffective=false, weightDegradeRate=0.05, degradeEffective=false, degradeLeastWeight=1, weightRecoverRate=2.0, degradeMaxIpCount=2}]
2023-10-24 13:39:59,077 INFO  main                             com.alipay.sofa.rpc.client.aft.FaultToleranceConfigManager - Get a new resource, value[FaultToleranceConfig{timeWindow=10, leastCallCount=100, leastWindowCount=10, leastWindowExceptionRateMultiple=6.0, regulationEffective=false, weightDegradeRate=0.05, degradeEffective=false, degradeLeastWeight=1, weightRecoverRate=2.0, degradeMaxIpCount=2}]
2023-10-24 15:37:33,348 INFO  main                             com.alipay.sofa.rpc.client.aft.FaultToleranceConfigManager - Get a new resource, value[FaultToleranceConfig{timeWindow=10, leastCallCount=100, leastWindowCount=10, leastWindowExceptionRateMultiple=6.0, regulationEffective=false, weightDegradeRate=0.05, degradeEffective=false, degradeLeastWeight=1, weightRecoverRate=2.0, degradeMaxIpCount=2}]
